Lat, Lon
7.989632, 93.513453
7.991110, 93.514244
7.992842, 93.514658
7.994848, 93.514660
7.997637, 93.517725
7.997908, 93.518650
7.999903, 93.521172
8.002151, 93.523308
8.004152, 93.524364
8.006290, 93.525434
8.008024, 93.525299
8.009375, 93.524614
8.011248, 93.523825
8.012842, 93.523445
8.018734, 93.521959
8.021395, 93.523689
8.021931, 93.526096
8.018705, 93.528093
8.016031, 93.529295
8.013475, 93.529684
8.013599, 93.532475
8.011587, 93.533812
8.009575, 93.534880
8.007977, 93.535267
8.005163, 93.537527
8.002764, 93.538324
8.000345, 93.539249
7.998198, 93.539530
7.996328, 93.539663
7.994062, 93.541109
7.993126, 93.541792
7.993504, 93.543653
7.994434, 93.544832
7.995367, 93.545105
7.997786, 93.544701
7.999382, 93.544313
8.000587, 93.545374
8.001648, 93.547379
8.003250, 93.546446
8.005922, 93.545626
8.007273, 93.544449
8.008736, 93.543659
8.010080, 93.543655
8.011013, 93.544313
8.012745, 93.544697
8.013683, 93.543772
8.013416, 93.542189
8.015179, 93.540846
8.017298, 93.541521
8.018785, 93.540188
8.020000, 93.538734
8.022263, 93.537945
8.023188, 93.540184
8.023314, 93.542591
8.022497, 93.545904
8.021124, 93.552029
8.019505, 93.556824
8.017483, 93.559608
8.015196, 93.561195
NaN, NaN
8.106907, 93.579824
8.100416, 93.582294
8.095419, 93.582132
8.092754, 93.581297
8.093113, 93.578630
8.095108, 93.576168
8.095299, 93.574350
8.092468, 93.574663
8.087965, 93.576321
8.086611, 93.578318
8.086779, 93.581446
8.083107, 93.581287
8.077608, 93.581627
8.069958, 93.583275
8.063137, 93.583277
8.057465, 93.586403
8.050446, 93.590059
8.044962, 93.591869
8.040791, 93.591360
8.037476, 93.588236
8.036009, 93.585735
8.036026, 93.582266
8.042021, 93.578451
8.049046, 93.573988
8.054884, 93.569357
8.059048, 93.566542
8.064545, 93.566549
8.068218, 93.566387
8.069031, 93.568027
8.065527, 93.570684
8.063505, 93.573833
8.061508, 93.576307
8.060652, 93.578804
8.061146, 93.580463
8.064640, 93.579464
8.071650, 93.577806
8.077486, 93.573685
8.080820, 93.573179
8.082987, 93.573179
8.082844, 93.569868
8.084841, 93.567554
8.088022, 93.564903
8.090197, 93.563559
8.092020, 93.563898
8.092331, 93.565401
8.093166, 93.567215
8.095657, 93.566399
8.099649, 93.566217
8.103481, 93.566563
8.106316, 93.565901
8.105673, 93.561928
8.105366, 93.559095
8.109367, 93.557278
8.112869, 93.554962
8.115700, 93.554152
